"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","198/5870","413/19944",0.479418886198547,1.62888079494784,8.34039539782731,9.74122791797594e-16,7.45203935725159e-13,5.01416889672656e-13,"55732/23028/5048/9031/7756/4361/23279/55166/54908/5431/5888/23063/5525/6672/55746/8243/23291/10615/5527/7520/55183/5663/23047/25978/546/81929/4998/9183/6790/9878/26277/23468/23411/11078/24144/79019/25777/8563/5905/328/9770/128866/23347/10735/2332/2491/10664/84148/11339/4683/54108/5516/84444/2146/23081/23064/80351/79991/9126/6603/27309/64151/51111/4928/57122/1108/9025/8899/7272/10111/9555/1452/10051/8850/51652/4999/5000/991/10274/348995/91687/56155/23244/55791/11335/3181/11130/64105/1017/55355/8970/79902/57187/25913/8520/90417/25983/55320/7011/151648/55274/6249/1786/5111/51164/84250/79577/55143/324/55226/86/51759/57082/79172/1763/6741/1062/50511/79035/675/23421/83540/23219/113130/91782/115426/54107/9219/3619/1111/79980/79682/253635/5884/8467/25909/9184/220134/84295/286053/701/1780/147841/5928/79677/3020/151246/80145/245711/55193/80335/92421/5885/5001/6990/7486/55839/81565/201161/84516/79003/2237/7798/201254/983/134492/11016/157570/51112/1051/8658/3981/55055/170506/545/9793/9212/375748/26039/9735/6612/56160/5501/10445/196528/10388/641/5253/121504/7405/11177/283489/23137/5500/5591/29082/57132/51750",198
"GO:0000775","GO:0000775","chromosome, centromeric region","135/5870","267/19944",0.50561797752809,1.7178952204123,7.62680726665822,2.61000785269058e-13,9.98328003654147e-11,6.71733599981944e-11,"55732/5048/9031/7756/23279/55166/54908/23063/5525/55746/8243/23291/10615/5527/5663/23047/25978/546/81929/9183/6790/23468/79019/5905/9770/128866/10735/2332/2491/10664/84148/11339/54108/5516/2146/23081/9126/6603/27309/64151/51111/4928/57122/8899/7272/9555/1452/10051/8850/51652/4999/991/10274/348995/91687/56155/23244/11335/11130/64105/55355/8970/79902/90417/25983/55320/151648/55274/6249/1786/51164/55143/324/86/51759/57082/79172/1062/50511/23421/83540/23219/113130/91782/115426/54107/3619/79980/79682/253635/8467/25909/9184/220134/84295/701/1780/147841/79677/3020/151246/55193/92421/5885/6990/55839/81565/201161/84516/79003/7798/201254/134492/157570/51112/1051/55055/9793/9212/375748/26039/9735/6612/5501/10445/196528/10388/5253/121504/7405/11177/283489/23137/29082/57132",135
"GO:0005765","GO:0005765","lysosomal membrane","208/5870","462/19944",0.45021645021645,1.52966216066727,7.4388994418013,5.44383593369444e-13,1.04113362231906e-10,7.00535729362258e-11,"1080/4074/3920/9043/4257/83930/9066/55/6556/58528/535/23274/57600/55745/23118/23200/2773/4287/7030/23250/9741/55737/23503/1183/4905/5337/7107/2782/56681/5663/28962/11342/25978/81929/8895/55054/2683/57192/54918/9342/9681/162/10043/10490/10548/80331/63910/128866/51311/286410/84061/1203/8140/7782/5862/23516/9545/1174/54664/6009/26001/5878/23531/8649/1182/4891/55754/4012/373/8992/59345/523/51652/10058/9528/23207/64121/1889/10103/8673/64747/51552/79109/26503/55717/206358/79026/5908/2770/54832/3949/529/157680/8546/55207/6272/10542/8774/53/55858/967/2647/8763/64114/55332/53346/56262/1318/55014/9550/55362/10211/4647/27314/84925/84888/950/2028/1950/64116/11010/283537/1213/29919/4864/10410/245973/55016/221960/526/91782/7436/2040/6836/4718/51128/23461/528/55529/64798/10670/2776/128338/84255/10825/7805/23385/9214/151556/57406/55255/221955/54468/92421/138050/220972/57156/90809/164/290/6520/55788/83985/201931/80131/2357/1184/719/10855/144577/64837/56674/11145/220441/153129/54734/120103/8905/302/26985/10581/23545/51479/4286/282991/9725/55340/4646/160/9583/219972/1803/23230/23334/987/2475/201475/54978/96459/9842/158376/57665/1650/441027/4067/91056/29082/57132",208
"GO:0098852","GO:0098852","lytic vacuole membrane","208/5870","462/19944",0.45021645021645,1.52966216066727,7.4388994418013,5.44383593369444e-13,1.04113362231906e-10,7.00535729362258e-11,"1080/4074/3920/9043/4257/83930/9066/55/6556/58528/535/23274/57600/55745/23118/23200/2773/4287/7030/23250/9741/55737/23503/1183/4905/5337/7107/2782/56681/5663/28962/11342/25978/81929/8895/55054/2683/57192/54918/9342/9681/162/10043/10490/10548/80331/63910/128866/51311/286410/84061/1203/8140/7782/5862/23516/9545/1174/54664/6009/26001/5878/23531/8649/1182/4891/55754/4012/373/8992/59345/523/51652/10058/9528/23207/64121/1889/10103/8673/64747/51552/79109/26503/55717/206358/79026/5908/2770/54832/3949/529/157680/8546/55207/6272/10542/8774/53/55858/967/2647/8763/64114/55332/53346/56262/1318/55014/9550/55362/10211/4647/27314/84925/84888/950/2028/1950/64116/11010/283537/1213/29919/4864/10410/245973/55016/221960/526/91782/7436/2040/6836/4718/51128/23461/528/55529/64798/10670/2776/128338/84255/10825/7805/23385/9214/151556/57406/55255/221955/54468/92421/138050/220972/57156/90809/164/290/6520/55788/83985/201931/80131/2357/1184/719/10855/144577/64837/56674/11145/220441/153129/54734/120103/8905/302/26985/10581/23545/51479/4286/282991/9725/55340/4646/160/9583/219972/1803/23230/23334/987/2475/201475/54978/96459/9842/158376/57665/1650/441027/4067/91056/29082/57132",208
"GO:0000793","GO:0000793","condensed chromosome","142/5870","288/19944",0.493055555555556,1.6752129471891,7.45409554814531,7.75164589301481e-13,1.18600182163127e-10,7.98011545617735e-11,"55732/5048/6853/9031/7756/23279/55166/54908/5888/55746/8243/23291/4292/10615/55183/5663/25978/546/81929/9183/6790/23468/79019/25777/5905/57820/9770/128866/2491/10664/84148/10270/9126/6603/64151/51111/4928/57122/8899/7272/5810/10111/9555/1452/10051/8850/51652/4999/991/27030/348995/91687/56155/23397/11335/11130/64105/1017/55355/79902/192669/90417/151648/55274/6249/7283/51164/84250/324/3364/86/10592/57082/79172/10128/1062/50511/675/23476/23421/83540/23219/2177/54892/91782/3619/1111/79980/144715/79682/253635/8467/25909/9184/220134/84365/7273/84295/286053/701/1780/147841/79677/3020/151246/11073/55193/92421/5885/6990/65083/55839/81565/201161/84516/79003/201254/134492/51112/1051/3981/55055/9793/9212/23212/1104/26039/9735/6612/56160/5501/10445/196528/3146/10388/641/5253/283489/23137/29082/57132/101928601",142
"GO:0031965","GO:0031965","nuclear membrane","156/5870","326/19944",0.478527607361963,1.62585257261107,7.35798670214761,1.30322327754165e-12,1.44671148372629e-10,9.73432288327699e-11,"952/5048/51096/240/9782/6683/9821/51230/27067/54884/23224/23369/23200/55706/6676/3843/10885/55746/26031/79041/2023/5108/29843/55183/5663/11342/10269/55787/8315/114882/10762/55151/3710/23411/25/6523/25777/5905/145508/113278/10430/27000/23560/3837/6945/27346/4928/57122/4001/5144/9631/7341/8934/9330/7112/148/10434/11335/200232/9972/79902/56255/128637/79639/22890/821/8089/6049/23108/26057/241/6272/10390/23175/3601/1910/11097/55852/6434/55627/64215/27348/1861/11270/6386/2644/10128/53371/84260/9818/9123/26092/3930/9589/1956/64418/10682/92140/203228/10280/6836/54788/9538/57647/5903/25909/221264/23165/2776/8888/129401/23001/59343/55764/79982/23588/83860/26012/79789/201161/84516/4088/163590/147/4086/53343/79188/598/5356/1717/23133/8658/23592/79647/161176/151188/30832/64782/51649/3838/3840/163087/9883/4646/83699/2869/9722/55219/255919/388799/1192/80772/358/10597/51750/7767",156
"GO:0001726","GO:0001726","ruffle","102/5870","189/19944",0.53968253968254,1.83363348746654,7.43657665803722,1.32378828576262e-12,1.44671148372629e-10,9.73432288327699e-11,"2268/57679/6792/51177/10787/10347/5141/387/6093/10235/2017/55616/54822/7430/25/4650/11252/8874/4210/25963/26258/66036/23242/23189/59338/9368/11275/1182/23603/9847/23286/23527/57669/57403/29993/83543/5420/4289/90417/23022/51429/6249/9026/1729/23647/51763/92154/324/55198/3936/5879/7099/7094/5962/3685/121512/9107/8826/8394/5868/5921/221472/93663/1956/526/5795/3688/114609/5756/2059/6868/64092/23362/26060/117145/3678/388325/10630/64419/10395/382/11170/255189/9788/4534/1072/1464/10458/91663/55785/221178/4771/126432/4646/6714/4644/4641/23607/79574/10324/4830/3690",102
"GO:0005925","GO:0005925","focal adhesion","186/5870","423/19944",0.439716312056738,1.4939867338432,6.63193041615966,1.06547553134936e-10,1.01886097685283e-08,6.85549387933999e-09,"5898/823/57514/7414/3371/1495/23224/2665/10787/387/26986/998/9448/5817/10979/25996/23032/7145/29843/1785/23011/10890/966/8895/2017/118/55616/6175/3655/8773/7430/10580/5594/11078/11252/10544/3055/22919/8874/2321/10391/26258/858/857/28964/5216/7531/8649/867/8496/23603/23371/10094/4739/8936/3313/5159/5576/10096/57669/3694/9173/58480/4179/10672/7010/2185/79026/1948/7408/83543/5782/23022/9754/1264/10095/10487/8500/51164/23164/3845/8650/26136/10677/2317/4008/3936/5879/81873/7094/10211/9656/6386/5962/22801/102/10097/3685/950/9815/8826/1012/5170/85464/1213/2886/8394/388/8994/4026/23092/10146/2768/1956/30011/4478/6251/10525/3688/5756/6868/120534/117143/57477/3689/6464/3678/3716/54751/91624/10092/23385/824/10109/308/3673/10395/6522/7534/3190/382/7184/7529/2923/7171/6730/11170/3660/165904/8754/6645/5604/5747/3987/7532/10015/8462/171024/1072/1605/1464/3728/1466/7525/2314/247/5062/2242/2275/23545/89782/5501/11261/54914/29780/5478/3482/6714/1803/55742/9019/7052/5500/3672/5297/3690",186
"GO:0030055","GO:0030055","cell-substrate junction","189/5870","433/19944",0.4364896073903,1.48302363369543,6.56263252113432,1.59574912797135e-10,1.35638675877565e-08,9.12656518804667e-09,"5898/823/57514/7414/3371/1495/23224/2665/10787/387/26986/998/9448/5817/10979/25996/23032/7145/29843/1785/23011/10890/966/8895/2017/118/55616/6175/3655/23676/8773/7430/10580/5594/11078/11252/10544/3055/22919/8874/2321/10391/26258/858/857/28964/5216/7531/8649/867/8496/23603/23371/10094/4739/8936/3313/5159/5576/10096/57669/3694/9173/58480/4179/10672/7010/2185/79026/1948/7408/83543/5782/23022/9754/1264/10095/10487/8500/51164/23164/3845/8650/26136/10677/2317/4008/3936/5879/81873/7094/10211/9656/6386/5962/22801/102/10097/3685/950/9815/8826/1012/5170/85464/1213/2886/8394/388/8994/4026/23092/10146/2768/1956/30011/4478/6251/10525/83706/3688/5756/6868/120534/117143/57477/3689/6464/3678/3716/54751/91624/10092/23385/824/10109/308/3673/10395/6522/7534/3190/382/7184/7529/2923/7171/6730/11170/3660/165904/8754/6645/5604/5747/3987/7532/10015/8462/171024/1072/1605/1464/3728/1466/7525/2314/247/5062/2242/2275/23545/89782/5501/11261/54914/29780/5478/3482/6714/1803/55742/9019/1756/7052/5500/3672/5297/3690",189
"GO:0000151","GO:0000151","ubiquitin ligase complex","162/5870","360/19944",0.45,1.52892674616695,6.54035919815415,2.09096178643715e-10,1.59958576662442e-08,1.07629506691344e-08,"54467/996/26224/51666/10048/9604/23304/25897/8452/54455/54165/1161/5888/8454/10513/4734/56852/6400/23291/27252/23032/7319/57542/57506/51433/8315/55072/8697/9681/51676/80344/26133/7993/79872/8453/51003/7126/23142/11275/55294/51088/9354/26273/83892/55832/9025/26235/51185/25852/9616/54800/84759/80067/27101/10459/991/90025/26234/7320/51646/8405/55975/79269/26994/11059/1164/116138/5469/4289/23008/57688/10277/84231/84246/10001/84893/1912/4008/10238/255488/51439/84259/80204/580/675/8451/8816/79018/8535/55527/55827/64326/339745/130507/9730/57563/10299/64839/56929/81545/26249/196394/9412/64682/90268/6921/9443/84108/122416/701/8450/267/112950/899/84447/79699/9903/80232/92703/25898/165918/25879/140456/23588/89890/8945/25820/8065/648/115294/10116/7324/55031/25948/80176/80012/84733/80311/200933/11146/11065/246184/7334/55175/54813/84333/143879/64410/5071/79184/10336/7332/123879/51434/10210/55958/51465/25853/151230/653659/10324/7335",162
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","96/5870","187/19944",0.513368983957219,1.74423015605499,6.60348337532556,2.41468479249354e-10,1.6793035147796e-08,1.12993384069793e-08,"55732/5048/7756/23279/55166/54908/55746/8243/23291/10615/5663/25978/546/81929/9183/6790/23468/79019/5905/9770/128866/2491/84148/6603/64151/51111/4928/57122/8899/7272/1452/8850/51652/4999/991/348995/91687/56155/11335/11130/64105/55355/79902/90417/151648/55274/6249/51164/324/86/57082/79172/1062/23421/83540/23219/91782/3619/79980/79682/253635/25909/9184/220134/84295/701/1780/147841/3020/151246/55193/92421/6990/55839/81565/201161/84516/79003/201254/134492/51112/1051/55055/9793/9212/26039/9735/6612/5501/10445/196528/10388/5253/283489/29082/57132",96
"GO:0031252","GO:0031252","cell leading edge","189/5870","438/19944",0.431506849315068,1.46609414016009,6.36989260279611,5.00498794400633e-10,3.19067981430403e-08,2.14687640756061e-08,"57147/2268/57679/9912/5048/6792/22902/51177/6642/57514/1495/4254/23224/10787/10347/5586/9748/5141/387/6093/10235/26986/998/10979/832/10411/55604/2017/55616/54822/7430/10013/25/3983/4650/11252/8874/4210/25963/26258/66036/22870/199731/23242/8976/23189/59338/8729/28964/4355/9368/11275/1182/6506/23603/10094/2054/9847/4739/8936/56940/23286/23527/10096/57669/29959/54942/2185/5290/57403/29993/5911/7408/83543/117177/135/468/5420/4289/90417/23022/51429/6249/9026/7283/1729/23647/51763/92154/10810/23075/324/4076/10677/55198/3936/5879/10006/7099/7094/10211/5962/3685/121512/9107/9051/8826/91039/8543/55917/8394/8476/5868/5921/221472/93663/1956/526/5795/3688/114609/5756/2241/2059/6868/133746/5796/57630/64092/23362/26060/3745/117145/3678/388325/10630/10092/10109/134/5584/64419/10395/3636/382/322/81565/6809/84940/11170/255189/9788/4534/1072/65059/22885/1605/5797/1464/10458/23625/91663/55785/23109/221178/4771/57698/375033/126432/29780/388336/4646/6714/4644/1803/4641/23607/79574/65979/57126/93035/6643/6453/23243/1654/729993/10324/4830/11037/3690",189
"GO:0000776","GO:0000776","kinetochore","90/5870","175/19944",0.514285714285714,1.74734485276223,6.41288191870139,7.71546495968906e-10,4.54025438012471e-08,3.05494928363397e-08,"55732/5048/7756/23279/55166/54908/55746/8243/23291/10615/5663/25978/81929/9183/6790/23468/79019/5905/9770/128866/2491/84148/6603/4928/57122/8899/7272/1452/8850/51652/4999/991/348995/91687/56155/11130/64105/55355/79902/90417/151648/55274/6249/51164/324/86/57082/79172/1062/23421/83540/23219/91782/3619/79980/79682/253635/25909/9184/220134/84295/701/1780/147841/3020/151246/55193/92421/6990/55839/81565/201161/84516/79003/201254/134492/51112/55055/9793/9212/26039/9735/6612/5501/10445/196528/5253/283489/29082/57132",90
"GO:0010494","GO:0010494","cytoplasmic stress granule","58/5870","98/19944",0.591836734693878,2.01083336230574,6.47830861994079,8.41522449424142e-10,4.59831909863906e-08,3.09401862983763e-08,"7812/27067/23369/54542/28996/4904/6093/26986/10644/54715/1653/5317/55239/8761/2332/79752/8662/57532/3837/1656/9444/8087/1981/7072/23215/23435/7706/57169/9513/1965/4076/149041/6741/55132/9908/2886/8444/9898/10146/203228/10658/1977/7073/4154/23367/113251/1973/3190/348093/55308/5936/170506/9802/253943/51441/26058/1654/26065",58
